Year,County Name,Benefits Paid,Weeks Compensated,Recipients,First Payments,Final Payments,County FIP,GNIS Feature ID,Primary Lat Dec,Primary Long Dec,Primary County Coordinates
2019,Worth,971612,2529,290,234,32,19195,465286,43.3773984,-93.2608476,POINT (-93.2608476 43.3773984)
2019,Woodbury,10148200,25818,2505,2060,463,19193,465285,42.3897169,-96.0447673,POINT (-96.0447673 42.3897169)
2019,Wright,1175326,3132,336,293,73,19197,465287,42.7331189,-93.7351465,POINT (-93.7351465 42.7331189)
2019,Winneshiek,2764203,6775,574,508,101,19191,465284,43.2906746,-91.8437074,POINT (-91.8437074 43.2906746)
2019,Winnebago,1251960,3657,560,503,56,19189,465283,43.3775678,-93.7341955,POINT (-93.7341955 43.37756780000001)
2019,Muscatine,4654915,11914,1346,1120,192,19139,465258,41.4839221,-91.1127562,POINT (-91.1127562 41.4839221)
2019,Adair,725208,1767,194,173,23,19001,465190,41.3307464,-94.4709413,POINT (-94.4709413 41.3307464)
2019,Van Buren,742651,1819,286,208,26,19177,465277,40.7532294,-91.9499871,POINT (-91.9499871 40.7532294)
2019,Benton,3095542,7862,794,662,137,19011,465195,42.0801864,-92.0656912,POINT (-92.0656912 42.0801864)
2019,Buena Vista,1511804,3803,357,300,76,19021,465200,42.7354936,-95.151149,POINT (-95.15114900000002 42.7354936)
2019,Linn,26883151,68979,6898,5647,1349,19113,465245,42.0789478,-91.5989646,POINT (-91.5989646 42.0789478)
2019,Harrison,876428,2316,201,169,43,19085,465231,41.6828528,-95.8169209,POINT (-95.8169209 41.6828528)
2019,Dallas,6383042,15409,1466,1187,250,19049,465213,41.6848862,-94.0397374,POINT (-94.0397374 41.6848862)
2019,Grundy,1447532,3645,392,334,51,19075,465226,42.4018651,-92.7914177,POINT (-92.7914177 42.4018651)
2019,Davis,966559,2384,261,212,20,19051,465214,40.7476891,-92.4097173,POINT (-92.4097173 40.7476891)
2019,Jones,3062525,7780,719,608,99,19105,465241,42.1212397,-91.1314352,POINT (-91.1314352 42.1212397)
2019,Cass,1419974,3556,301,262,66,19029,465204,41.3314876,-94.9278266,POINT (-94.9278266 41.3314876)
2019,Clay,1779436,4739,463,379,70,19041,465625,43.0825804,-95.1509194,POINT (-95.1509194 43.0825804)
2019,Ida,568733,1390,127,107,23,19093,465235,42.3868747,-95.5134962,POINT (-95.5134962 42.3868747)
2019,Webster,4124170,11267,1071,892,223,19187,465282,42.4279662,-94.1817881,POINT (-94.18178810000002 42.4279662)
2019,Louisa,1413329,3535,351,299,63,19115,465246,41.2185073,-91.2596184,POINT (-91.2596184 41.2185073)
2019,Poweshiek,2170363,5484,539,474,64,19157,465267,41.6864422,-92.5314684,POINT (-92.53146840000001 41.6864422)
2019,Dickinson,2428499,6411,664,551,107,19059,465218,43.3779848,-95.1508301,POINT (-95.1508301 43.3779848)
2019,Story,5036100,13042,1279,1000,201,19169,465273,42.0362415,-93.4650448,POINT (-93.4650448 42.0362415)
2019,Mahaska,2092469,5383,516,424,92,19123,465250,41.3352035,-92.6409094,POINT (-92.6409094 41.3352035)
2019,Wapello,5392677,13470,1247,1049,238,19179,465278,41.0305845,-92.4094499,POINT (-92.4094499 41.03058450000001)
2019,Adams,224212,560,57,48,7,19003,465191,41.0289839,-94.6991849,POINT (-94.6991849 41.02898390000001)
2019,Plymouth,2593235,6299,680,568,96,19149,465263,42.7378346,-96.2140431,POINT (-96.2140431 42.7378346)
2019,Black Hawk,18213244,47256,5838,4973,768,19013,465196,42.4700957,-92.3088197,POINT (-92.3088197 42.4700957)
2019,Madison,3008365,7061,615,484,109,19121,465249,41.3307142,-94.0155619,POINT (-94.01556190000001 41.33071420000001)
2019,Tama,2694258,6299,606,508,90,19171,465274,42.0798117,-92.5325425,POINT (-92.5325425 42.07981170000001)
2019,Des Moines,6422048,17097,1798,1501,289,19057,465217,40.9231829,-91.1814707,POINT (-91.1814707 40.9231829)
2019,Guthrie,1391230,3317,302,257,54,19077,465227,41.6837548,-94.501055,POINT (-94.501055 41.6837548)
2019,O Brien,1221266,3085,262,229,56,19141,465259,43.0837527,-95.6248784,POINT (-95.6248784 43.0837527)
2019,Clayton,3646662,8623,799,701,109,19043,465210,42.8447493,-91.3414328,POINT (-91.34143280000002 42.8447493)
2019,Floyd,3022262,7580,787,697,94,19067,465222,43.0599208,-92.7890033,POINT (-92.78900330000002 43.0599208)
